"Carimbo de data/hora","Na tua opinião, este projeto foi importante no teu processo de aprendizagem?","De qual tarefa (fase) do projeto mais gostaste?","Esta metodologia de trabalho (projeto) torna a aula de Desenho mais interessante?","A forma como o projeto foi estruturado ajudou-te na construção do processo de aprendizagem?","Farias alguma alteração na estrutura deste projeto de modo a melhorar o seu funcionamento e resultados?","Se respondeste ""Sim"" à questão anterior, podes fazer aqui as tuas sugestões.","Este projeto ajudou-te a compreender melhor o tema da Figura Humana?","Este projeto ajudou-te a desenvolver a capacidade de desenho da Figura Humana?","Este projeto ajudou-te a explorar a plasticidade do meio atuante (grafite, carvão vegetal, carvão sintético)?","As aulas teóricas ajudaram-te a percepcionar, de forma mais clara, a representação do corpo humano na Arte Contemporânea?","Porquê?","A visita de estudo a Lisboa, nomeadamente à exposição de Carlos Bunga, ajudou-te a compreender o que é uma instalação artística?","A visita à exposição de Carlos Bunga permitiu-te a compreender o corpo humano como meio de expressão artística?","Este projeto fez com que te interessasses mais pelo estudo da Figura Humana?","Porquê?","Sentes que o exercício de quebra-gelo foi útil para este projeto? (primeira aula em que vieram todos para o lugar do professor) ","A escolha das pessoas teve impacto no teu envolvimento com a proposta?","Do teu ponto de vista, saberes que o trabalho seria exposto num espaço museológico (Mosteiro de Tibães) contribuiu para a tua motivação para o projeto? ","Na tua opinião, a atividade proposta no âmbito da Figura Humana ser um projeto coletivo, nomeadamente uma instalação, foi interessante?","Porquê?","Na tua opinião, a expressão gráfica da Lurdes Castro fez sentido no produto final deste projeto?","O projeto que desenvolveste motivou-te a explorar o desenho da Figura Humana?","Depois deste projeto ficaste motivado para desenvolver mais desenhos a carvão vegetal?","Na tua opinião, a modalidade de trabalho coletivo seria algo interessante a desenvolver no futuro?","Gostaste do resultado do teu desenho final?","Sentes que desenvolveste aprendizagens neste projeto?","Em qual fase do processo tiveste mais dificuldades?","Qual fase do processo foi, para ti, a mais interessante?","Ao longo do desenvolvimento do desenho da Figura Humana, sentes que este projeto te ajudou a desenvolver aprendizagens ao nível:","Este projeto despertou-te para a observação da sociedade e das pessoas à tua volta?","Depois de desenvolveres este projeto, sentes-te mais apto a decifrar o estado de espírito de uma pessoa ao observares a sua postura e as suas mãos?","Achas que observar a postura e as formas da pessoa te permite perceber sua saúde mental?","Como artista, achas importante refletir sobre o nosso ambiente e comunidade?","Achas que o artista, enquanto membro da sociedade, é um reflexo da Saúde Mental coletiva e individual?","Porquê?","A pessoa que selecionaste para desenhar era:","Este projeto ajudou-te a compreender melhor a dimensão da Saúde nomeadamente a saúde mental (Cidadania e Desenvolvimento)?","Porquê?","Se quiseres, aproveita para fazeres uma reflexão sobre como é que este projeto teve impacto na forma como observas  o mundo ao teu redor."
"2026/03/27 12:27:07 p.m. CET","2","Tarefa nº3: Desenho final (grande escala) para a Instalação","2","3","Não","","4","3","1","3"," ","Não fui à visita","Não fui à visita","3"," ","3","1","3","1"," ","2","Não","Sim","Sim","4","3","Estudos rápidos (primeira aula);Pesquisa e seleção da pessoa a retratar;Desenho da silhueta","Estudos volumétricos;Estudos das mãos;Desenho em grande escala","da estrutura, proporções.","4","4","4","1","1"," ","Amigo/a","2"," ",""
"2026/03/27 12:27:47 p.m. CET","2","Tarefa nº3: Desenho final (grande escala) para a Instalação","2","2","Não","","2","2","1","2","Porque sim","Muito;Razoavelmente","Muito;Razoavelmente","2","Porque sim","2","1","1","1","Porque sim","2","Sim","Sim","Não","1","2","Estudos das mãos;Desenho expressivo das mãos","Estudos rápidos (primeira aula);Estudos estruturais;Desenho da silhueta","da anatomia (volumetria da forma humana).","5","3","2","1","1","Porque sim","Familiar","2","Porque sim",""
"2026/03/27 12:29:24 p.m. CET","2","Tarefa nº3: Desenho final (grande escala) para a Instalação","1","4","Sim","Colocaria mais tempo para trabalhar melhor em termos de proporções ","2","2","1","3","Porque acredito que isso ajuda melhor ao perceber a historia da arte ","Não fui à visita","Razoavelmente","2","Porquê o corpo humano têm muitas características diferentes ","5","1","1","1","Porquê trabalha a cidadania","3","Sim","Sim","Sim","3","2","Estudos rápidos (primeira aula);Estudos das mãos;Desenho expressivo das mãos","Estudos volumétricos;Desenhos da forma humana (estudos completos);Desenho da silhueta","da anatomia (volumetria da forma humana).","2","3","1","1","1","Porquê representamos o nosso mundo ","Familiar","1","Porque abordamos um tema importante para discutir",""
"2026/03/27 12:29:58 p.m. CET","2","Tarefa nº2: Desenho Expressivo da Figura Humana escolhida (corpo inteiro e mãos).","2","3","Não","","2","3","3","3","Não ajudou muito, mas também não atrapalhou.","Não fui à visita","Não fui à visita","3","Não muito, não tenho interesse em desenhar figura humana.","2","5","3","3","É interessante trabalhar com outras pessoas.","3","Sim","Não","Sim","3","2","Pesquisa e seleção da pessoa a retratar;Estudos volumétricos;Desenhos da forma humana (estudos completos);Desenho em grande escala","Estudos rápidos (primeira aula);Estudos das mãos;Desenho da silhueta","do movimento.","3","4","3","2","3","Vários artistas representam aquilo que a sociedade esta passando no momento.","Familiar","3","Não acho que tenha mudado muito minha compreensão.",""
"2026/03/27 12:33:17 p.m. CET","1","Tarefa nº2: Desenho Expressivo da Figura Humana escolhida (corpo inteiro e mãos).","2","1","Não","","2","2","2","1","Sim, ajudaram, porque permitiram compreender melhor como o corpo humano é representado na Arte Contemporânea não apenas de forma realista, mas também simbólica e expressiva, explorando emoções, identidade e crítica social","Razoavelmente","Razoavelmente","2","Coloquei 2 porque o projeto aumentou o meu interesse pelo estudo da figura humana e das proporções, expressividade e diferentes formas de representação, embora não tenha sido algo que despertasse um interesse total.","2","2","1","1","Sim, foi interessante porque deu para trabalhar em grupo e trocar ideias, o que ajudou a melhorar o resultado final. A parte da instalação tornou o projeto mais criativo e diferente do habitual.","2","Sim","Não","Sim","1","2","Estudos das mãos","Desenho em grande escala","da anatomia (volumetria da forma humana).","2","3","3","1","2","Sim, porque os artistas muitas vezes expressam nas suas obras aquilo que sentem e o que se passa à sua volta. Através da arte, acabam por refletir tanto o seu estado emocional como os problemas e sentimentos da sociedade em que vivem.","Celebridade","1","Sim, porque o projeto mostrou como a arte pode ser uma forma de expressar emoções e temas ligados à saúde mental.",""
"2026/03/27 12:34:21 p.m. CET","1","Tarefa nº3: Desenho final (grande escala) para a Instalação","1","1","Não","","2","1","1","2","Para mim, apesar da aula teórica ser bastante útil, prefiro fazer o processo na prática! ","Muito","Razoavelmente","1","Sempre me interessei, mas cada vez que faço um projeto com figura humana parece que gosto mais.","1","1","1","1","Acho interessante que os trabalhos funcionem como um conjunto.","1","Sim","Sim","Sim","2","1","Pesquisa e seleção da pessoa a retratar;Estudos volumétricos;Estudos das mãos;Desenho expressivo das mãos","Desenhos da forma humana (estudos completos);Estudos das mãos;Desenho em grande escala;Desenho da silhueta","da estrutura, proporções.;da anatomia (volumetria da forma humana).;do movimento.","1","2","2","1","2","O artista acha sempre por refletir sobre a sociedade e a sua saúde mental.","Familiar","2","De certa forma, sim, fez-me refletir em como as pessoas acabam por da sua forma ajudar na saúde mental coletiva.","As vezes observo mais, tanto os movimentos das pessoas a passar como as mãos, principalmente as mãos. "
"2026/03/27 12:34:58 p.m. CET","2","Tarefa nº3: Desenho final (grande escala) para a Instalação","2","1","Não","","1","1","2","2","Acho que as aulas teóricas deram um contexto para o trabalho, alem de ideias e mais cultura geral sobre artistas no ramo da figura humana","Muito","Muito","2","Deu me mais um incentivo e vontade de explorar a figura humana pelo motivo de ter massacrado tanto a mesma pose tantas vezes","1","2","1","1","Ao ser um projeto coletivo foi interessante ver como os colegas trabalham e como resolvem os seus problemas nos seus trabalhos e a diferença que cada desenho tem para os outros","2","Sim","Sim","Sim","2","1","Pesquisa e seleção da pessoa a retratar;Estudos volumétricos;Estudos das mãos;Desenho expressivo das mãos","Desenhos da forma humana (estudos completos);Desenho em grande escala","da estrutura, proporções.","2","2","1","1","1","Na minja perspetiva o artista tem mais olho para perceber oque esta a sua volta e a importância ","Familiar","2","Ao observar diferentes poses e expressões parece que podemos ver atraves deles oque cada um sente",""
"2026/03/27 12:35:16 p.m. CET","1","Tarefa nº3: Desenho final (grande escala) para a Instalação","1","3","Não","","1","3","2","3"," ","Muito","Razoavelmente","1","Fez com que eu estivesse mais á vontade com a figura humana.","3","3","1","1","Gostei da metodologia utilizada","2","Não","Sim","Sim","2","2","Estudos volumétricos;Desenhos da forma humana (estudos completos)","Pesquisa e seleção da pessoa a retratar;Estudos estruturais;Desenho expressivo das mãos;Desenho da silhueta","da estrutura, proporções.;da anatomia (volumetria da forma humana).","2","1","1","2","2"," ","Familiar","2"," ",""
"2026/03/27 12:35:59 p.m. CET","2","Tarefa nº1: Estudos da Figura Humana.","2","2","Não","","2","2","1","2","Serviram como uma espécie de guia para eu entender oque eu devo fazer para entender melhor e melhorar a minha representação.","Não fui à visita","Não fui à visita","1","Ser exposto a algo normalmente cria certo interesse. E já havia um interesse previamente.","3","3","1","2","Foi interessante ter que considerar a harmonia e o estilo coletivo da exposição.","2","Sim","Sim","Sim","1","2","Desenho em grande escala","Estudos rápidos (primeira aula)","da anatomia (volumetria da forma humana).","2","2","2","2","2","Porque o artista é aquele que pode transmitir suas emoções e dos outros de forma efetiva.","Familiar","2","Me fez refletir em outros indivíduos enquanto fazia a minha escolha, bem como os indivíduos retratados nos outros trabalhos.",""
"2026/03/27 12:36:14 p.m. CET","2","Tarefa nº2: Desenho Expressivo da Figura Humana escolhida (corpo inteiro e mãos).","2","1","Não","","2","2","1","2","As aulas teóricas ajudaram a compreender a representação do corpo humano porque dão-nos uma base daquilo que vamos fazer e ajudam-nos a perceber como o vamos fazer.","Razoavelmente","Muito","2","Este projeto fez com que me interessasse mais pelo estudo da Figura Humana porque tive que estudar mais a fundo a forma das mãos, que era algo que evitava na figura humana.","3","2","1","2","A proposta no âmbito da figura humana ser um projeto coletivo foi interessante porque nos obrigou a pensar no conjunto da instalação em vez do individual.","2","Sim","Sim","Sim","2","2","Estudos volumétricos;Desenhos da forma humana (estudos completos);Estudos das mãos","Desenho em grande escala;Desenho da silhueta","da anatomia (volumetria da forma humana).","2","2","2","2","2","Acho que o artista é um reflexo da Saúde Mental porque interpreta e retrata nas suas obras aquilo que perceciona, influenciado por aquilo que viveu e conhece.","Familiar","2","Este projeto ajudou a compreender melhor a dimensão da saúde mental porque nos kbrigou a refletir e observar melhor aqueles que nos rodeiam",""
